exit_layer,num_speculations,acceptance_rate,total_time,time_per_token,tokens_per_second
1,1,0.16916898638010025,15.109806060791016,0.059022679924964905,17.091473007202147
1,2,0.08692343607544899,14.654739379882812,0.057245075702667236,17.49066619873047
1,3,0.06312866136431694,15.246345520019531,0.059556037187576294,16.808803939819335
1,4,0.047207321226596835,15.700605392456055,0.061330489814281464,16.316396141052245
1,5,0.03604636862874031,16.234081840515138,0.06341438218951226,15.777239036560058
1,6,0.03193487823009491,16.703074264526368,0.06524638384580612,15.357690238952637
3,1,0.24405377805233003,13.913475799560548,0.05434951484203339,18.42161750793457
3,2,0.12739337980747223,14.738098907470704,0.05757069885730744,17.378725051879883
3,3,0.12506490349769592,14.61891860961914,0.057105150818824765,17.56904354095459
3,4,0.06894148662686347,16.673544502258302,0.06513103321194649,15.371101188659669
3,5,0.06636273935437202,16.94272232055664,0.06618250906467438,15.12689380645752
3,6,0.053198041021823884,18.30749645233154,0.07151365801692008,14.053045845031738
5,1,0.407251250743866,12.824822044372558,0.050096961110830306,20.050820541381835
5,2,0.2297138452529907,13.798524093627929,0.0539004847407341,18.58689193725586
5,3,0.17115153968334199,14.58935089111328,0.05698965191841125,17.591668701171876
5,4,0.13089193701744078,15.874872207641602,0.062011219561100006,16.268705940246583
5,5,0.09902511984109878,17.738785552978516,0.06929213106632233,14.495016098022461
5,6,0.09542124718427658,17.997163009643554,0.07030141800642013,14.343816566467286
7,1,0.7536702513694763,8.604010438919067,0.04497571811079979,22.78504333496094
7,2,0.7251258254051208,8.859333610534668,0.034606771916151045,28.963463592529298
7,3,0.6948559522628784,7.818068027496338,0.03053932823240757,32.79466781616211
7,4,0.67450453042984,7.301946926116943,0.02852323018014431,35.151082611083986
7,5,0.485115709900856,9.875028991699219,0.038574331998825075,28.877525329589844
7,6,0.425227427482605,8.418763256072998,0.03669693171977997,28.298295974731445
9,1,0.8367387652397156,10.641009521484374,0.04156644344329834,24.072672271728514
9,2,0.5903732180595398,10.741552543640136,0.04195918962359428,24.005347442626952
9,3,0.5933726012706757,9.741767692565919,0.03805378004908562,26.723381423950194
9,4,0.6719395279884338,8.214231872558594,0.03208684325218201,31.65528984069824
9,5,0.4973932147026062,9.809271621704102,0.03831746727228165,26.90927200317383
9,6,0.5033411145210266,9.797721862792969,0.038272351026535034,28.137104797363282
11,1,0.7649791955947876,11.546755027770995,0.04510451182723045,22.295996856689452
11,2,0.83974609375,9.340821075439454,0.03648758232593537,27.529299926757812
11,3,0.753783667087555,8.942043495178222,0.03492985740303993,28.836024475097656
11,4,0.7264068841934204,8.671550750732422,0.03387324512004852,29.63680648803711
11,5,0.6618035316467286,8.956487083435059,0.0349862776696682,29.745863723754884
11,6,0.6069773137569427,9.894450187683105,0.03865019604563713,28.852025413513182
13,1,0.8735613942146301,11.10564079284668,0.043381409347057344,23.068286514282228
13,2,0.7681811451911926,10.305865669250489,0.04025728777050972,24.92183494567871
13,3,0.6800851285457611,10.371334838867188,0.040513026714324954,25.21482276916504
13,4,0.7396993637084961,9.212788009643555,0.03598745316267014,28.225424194335936
